dataset,model,protocol,method,representation,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap,aurc,error,n_subjects_total,n_subjects_available_accuracy,n_subjects_available_macro_f1,n_subjects_available_brier,n_subjects_available_nll,n_subjects_available_ece_15,n_subjects_available_confidence_gap,n_subjects_available_mean_confidence,n_subjects_available_overconfidence_positive_gap,n_subjects_available_overconfidence_negative_gap,n_subjects_available_aurc,n_subjects_available_error
uci_har,random_forest,subject_disjoint,temp,V1_official_features,0.9247824463917682,0.9156934381230247,0.11319615661970853,0.20019615694169873,0.047307730984222605,-0.0005137645148596291,0.9242686818769086,0.018860227787830596,-0.019373992302690227,0.016784080687411388,0.07521755360823174,30,30,30,30,30,30,30,30,30,30,30,30
wisdm_watch_accel,cnn1d,sample_mixed,iso,raw_sensor_windows,0.7713491574728983,0.7538171622858998,0.31776875961703555,0.7995119204065392,0.0704390450647094,0.004898394463890617,0.776247551936789,0.02230671491168438,-0.017408320447793765,0.07219780665068605,0.22865084252710166,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,sample_mixed,raw,raw_sensor_windows,0.7656429200503626,0.7467557633998355,0.32698913524005213,0.7164046536569173,0.08017040654176678,-0.04034278294442539,0.7253001371059372,0.006075849207626509,-0.04641863215205189,0.07511834141162278,0.2343570799496374,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,sample_mixed,temp,raw_sensor_windows,0.7656429200503626,0.7467557633998355,0.3240812486447729,0.713881909901163,0.07099469898590183,-0.01501662080483755,0.7506262992455252,0.012944584600630455,-0.027961205405468002,0.07515136612210511,0.2343570799496374,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,subject_disjoint,iso,raw_sensor_windows,0.5166424459994545,0.4762783968079268,0.6266244839194756,2.2362633207815836,0.1746650121980268,0.008187770204405658,0.5248302162038602,0.06677616453736915,-0.05858839433296348,0.30415671196262273,0.48335755400054553,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,subject_disjoint,raw,raw_sensor_windows,0.5098006412666014,0.4649894619717147,0.6360568724015869,1.754555032557843,0.17273353728763893,0.021950034501569928,0.5317506757681714,0.07633753112801857,-0.054387496626448636,0.31243115739392474,0.4901993587333986,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,subject_disjoint,temp,raw_sensor_windows,0.5098006412666014,0.4649894619717147,0.6611137155729716,1.6973339731219568,0.21580974563992075,-0.1063575465324043,0.40344309473419715,0.03654235548445788,-0.1428999020168622,0.31551598457519575,0.4901993587333986,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,sample_mixed,iso,V1_official_features,0.8220807004560435,0.8131432178204467,0.2518011207012491,0.6680570974969529,0.0564073996733093,-0.017708054878768132,0.8043726455772755,0.005617863834092735,-0.02332591871286087,0.045446993743594157,0.1779192995439565,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,sample_mixed,raw,V1_official_features,0.8225735588360387,0.8113886596239714,0.2884593416977899,0.705930746225244,0.1576788205544088,-0.1536368652515066,0.6689366935845321,0.0,-0.1536368652515066,0.04499797336581821,0.17742644116396133,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,sample_mixed,temp,V1_official_features,0.8225735588360387,0.8113886596239714,0.2517779066544919,0.612155213742584,0.06106291329137488,-0.03406261749650677,0.7885109413395319,0.0019733163908231114,-0.03603593388732988,0.044991420762637534,0.17742644116396133,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,subject_disjoint,iso,V1_official_features,0.6251190630841524,0.6008699642121804,0.5012912819009453,1.5303051001909227,0.1334487597589502,-0.022985435450133544,0.6021336276340189,0.03820357102036353,-0.06118900647049707,0.1948590266042743,0.3748809369158475,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,subject_disjoint,raw,V1_official_features,0.631222500482924,0.6103715666182774,0.5070740286353697,1.5722948779707493,0.15368046072018912,-0.0759508691133253,0.5552716313695988,0.0263785803041559,-0.10232944941748119,0.19791124876138028,0.36877749951707595,50,50,50,50,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,subject_disjoint,temp,V1_official_features,0.631222500482924,0.6103715666182774,0.5860117001325896,1.5739520742401223,0.24097542836712202,-0.18528297918694633,0.44593952129597775,0.01647581775387732,-0.20175879694082366,0.20448461986756772,0.36877749951707595,50,50,50,50,50,50,50,50,50,50,50,50
