dataset,model,protocol,method,target_coverage,coverage,selective_error,full_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_selective_error,n_subjects_available_full_error
uci_har,logistic,leakage_reduced_mixed,raw,1.0,0.9997093971502172,0.031917202704972406,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,0.5,0.4997064560531551,0.002507118801694184,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,0.6,0.5976711951570947,0.0029103644767491323,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,0.7,0.6916885534719803,0.0030156619239899434,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,0.8,0.7905920054118533,0.00464055475577577,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,0.9,0.8911378487383902,0.009278084544400862,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,1.0,0.9996178220586421,0.031917963705231145,0.03210669712846755,30,30,30,30
uci_har,logistic,sample_mixed,iso,0.5,0.7409675891435424,0.002379480037473344,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,iso,0.6,0.7652081691214508,0.002366950624891367,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,iso,0.7,0.8013347404957685,0.0024388634002983083,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,iso,0.8,0.8442234360268868,0.0027297802605539697,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,iso,0.9,0.9133668965817303,0.004084300222001286,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,iso,1.0,0.9996839007786775,0.01818472125222716,0.018325089267490997,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.5,0.5011360500420542,0.0004924758362871358,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.6,0.6004622782042223,0.0006226141296798423,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.7,0.6999418343558055,0.001013875003195225,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.8,0.7973946483423443,0.0014714817983603645,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.9,0.8987546027464952,0.0029752943763517513,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,raw,1.0,0.9993516918240296,0.017546027021501705,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,0.5,0.5015005747935342,0.0004921973988682677,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,0.6,0.6004914755626446,0.000620764349209412,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,0.7,0.699688543409356,0.0009993053981254413,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,0.8,0.7975307951631029,0.0014709079905099005,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,0.9,0.8987936570340295,0.002964718807428629,0.01783977238077711,30,30,30,30
uci_har,logistic,sample_mixed,temp,1.0,0.9993936329069111,0.01755412081629096,0.01783977238077711,30,30,30,30
uci_har,logistic,subject_disjoint,iso,0.5,0.5991413816539148,0.019928955190603524,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,iso,0.6,0.6734258202906585,0.021202854317890305,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,iso,0.7,0.7292120301043903,0.022335153574949775,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,iso,0.8,0.8178046137553462,0.025070066915780384,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,iso,0.9,0.9016020139656852,0.032090797004288005,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,iso,1.0,0.999181200901256,0.0596485196387473,0.06025111409155632,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.5,0.5029149062223409,0.01343139500557936,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.6,0.6044654731962874,0.015355284712152615,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.7,0.707769120250932,0.01693302327143587,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.8,0.8095348240159331,0.02092799039774172,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.9,0.9045795391222753,0.0293166481755909,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,raw,1.0,0.9992045342111041,0.055260013847212276,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,0.5,0.5006394410595072,0.013395594524327257,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,0.6,0.6068432467437527,0.01507581649281099,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,0.7,0.706428542193439,0.016882156754363678,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,0.8,0.8055863619686813,0.020622418871009903,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,0.9,0.9032177388857385,0.029182407139375803,0.05580357281846939,30,30,30,30
uci_har,logistic,subject_disjoint,temp,1.0,0.9993452988491165,0.05535540789551247,0.05580357281846939,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,0.5,0.7628839998370643,0.008130802725367547,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,0.6,0.7628839998370643,0.008130802725367547,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,0.7,0.7752365258101329,0.007993496761757903,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,0.8,0.8157400340334079,0.012127244526824373,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,0.9,0.8932481915264572,0.0204695520683288,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,1.0,0.9996102434453814,0.05320479213984011,0.0532814769072411,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.5,0.5068112958132805,0.0008084604943243687,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.6,0.6030914579235798,0.0019418983742381264,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.7,0.6969887180907448,0.003020090248101595,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.8,0.7922394107546256,0.007414018293386724,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.9,0.8985416512151843,0.021266386871069378,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,1.0,0.9998169063187385,0.04770580914980242,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,temp,0.5,0.500789432385923,0.0005295852059657058,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,temp,0.6,0.6018499304744775,0.0018151185565236385,0.04788572062309564,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,temp,0.7,0.6993833103552825,0.0028020815787905616,0.04788572062309564,30,30,30,30
