family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,model,all,extra_trees,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.01498499486690946,-0.0031852699525388396,0.03317766071972038,80,2,0.11537692461507698,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,hist_gradient_boosting,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,-0.0022147201450645106,-0.025285688661443543,0.01899991832047682,80,2,0.8482303539292142,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,cnn1d,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.0030436154642640325,-0.016296179694716577,0.0218162377232009,80,2,0.7608478304339132,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,logistic,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.006932104555680491,-0.04338381833173991,0.029885181123898544,30,1,0.715256948610278,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,random_forest,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.013088633475190264,-0.01392902745312959,0.039397579822500334,30,1,0.35232953409318135,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,extra_trees,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.0030981958198160087,-0.023479454914191237,0.030106016570251512,30,1,0.8340331933613278,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,hist_gradient_boosting,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.0005692455036093592,-0.039145807453543194,0.03774729081544519,30,1,0.981003799240152,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,cnn1d,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.0066626256932819155,-0.03429313665211828,0.02054343206973123,30,1,0.6354729054189162,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,logistic,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.0228553095787194,-0.009937693570887089,0.05157945359998834,50,1,0.15856828634273146,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,random_forest,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.019559266487675843,-0.0032991318284234902,0.04147710507718235,50,1,0.09278144371125775,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,extra_trees,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.026871793914002913,0.0009269734947191175,0.051209824230892736,50,1,0.04379124175164967,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,hist_gradient_boosting,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.004998685793738381,-0.02589108910559896,0.016065529209493112,50,1,0.6332733453309338,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,cnn1d,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.01274985662180998,-0.01532553838563282,0.03775813429477559,50,1,0.3577284543091382,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
