dataset,model,protocol,seed,representation,subject,n_windows,n_folds_contributed,method,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,aurc,error,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1629,648,1,raw,0.4691358024691358,0.37967956020791593,0.6633631920949831,1.5715785612579365,0.1345146773038087,-0.04693069327392696,0.325852183917106,0.5308641975308642,0.4222051091952088,0.0,-0.04693069327392696
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1629,648,1,temp,0.4691358024691358,0.37967956020791593,0.7081788764387499,1.7395248892454538,0.20204215488671318,-0.18509913332080902,0.32556089078266753,0.5308641975308642,0.28403666914832676,0.0,-0.18509913332080902
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1629,648,1,iso,0.4845679012345679,0.40818194371802674,0.6632259123834496,1.779662979675306,0.12739713434349573,-0.08709341675992238,0.26848442472854817,0.5154320987654322,0.3974744844746455,0.0,-0.08709341675992238
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1630,324,1,raw,0.6018518518518519,0.5632547246690804,0.4955944713711421,0.9762199118547467,0.15258789053301752,-0.11027469007689278,0.20887903559152918,0.39814814814814814,0.4915771617749591,0.0,-0.11027469007689278
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1630,324,1,temp,0.6018518518518519,0.5632547246690804,0.590870999215862,1.2952821395305911,0.2622472174774422,-0.25813462701129475,0.24809113464772203,0.39814814814814814,0.3437172248405571,0.0,-0.25813462701129475
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1630,324,1,iso,0.6018518518518519,0.544177069039625,0.522444464084814,1.1045812651043516,0.1828715521757695,-0.06953008964400009,0.20381421661531438,0.39814814814814814,0.5323217622078518,0.0,-0.06953008964400009
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1631,324,1,raw,0.6975308641975309,0.6550684880519759,0.4528220604989253,0.9999807296764219,0.1886011052554772,-0.16059223051976268,0.13407747257241812,0.30246913580246915,0.5369386336777682,0.0,-0.16059223051976268
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1631,324,1,temp,0.6975308641975309,0.6550684880519759,0.5575177847089482,1.2732020952275387,0.3582989649227392,-0.32168059177042546,0.17125510191900958,0.30246913580246915,0.3758502724271054,0.0,-0.32168059177042546
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1631,324,1,iso,0.654320987654321,0.6084721280774718,0.4692975401738661,1.0970014767356018,0.1401481878676643,-0.10181146376205663,0.14827193409094652,0.345679012345679,0.5525095238922644,0.0,-0.10181146376205663
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1632,324,1,raw,0.7839506172839507,0.7599396612867023,0.3124558478677786,0.6762575206180299,0.1500965829156799,-0.12654555004871926,0.06678462249393914,0.21604938271604934,0.6574050672352314,0.0,-0.12654555004871926
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1632,324,1,temp,0.7839506172839507,0.7599396612867023,0.3262687835764527,0.7052467752357576,0.1596656491576408,-0.14940200988427266,0.06850240808896463,0.21604938271604934,0.634548607399678,0.0,-0.14940200988427266
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1632,324,1,iso,0.808641975308642,0.7796031589106774,0.28537037739741195,0.8130016947443602,0.1606689416682551,-0.12809324085028817,0.044041609129652284,0.191358024691358,0.6805487344583538,0.0,-0.12809324085028817
